eval_loss,eval_loss_mean,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3,eval_no_improve_count,grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
1.2551447004079819,1.2551447004079819,1.2437458,1.2542673,1.2619057,1.2602359,0.48085665702819824,0.45580032,0.4793564,0.4941929,0.49414855,0,4.119970331725337,1.539351463317871,1.502466,1.5191448,1.5555501,1.5753138,0.735578179359436,0.7813551,0.7646424,0.71701664,0.68702686,16,0
0.9576641768217087,0.9576641768217087,0.86015636,0.92639935,0.9823262,1.0524455,0.2578801866620779,0.16051258,0.19547659,0.30836555,0.36177254,0,2.0101671753543346,1.0269842422008513,0.9731117,1.0064615,1.0402339,1.0868435,0.27786127269268035,0.23291713,0.25193685,0.29339793,0.3332701,1616,100
0.8643673658370971,0.8643673658370972,0.7487566,0.84957045,0.90424216,0.96739113,0.21871791221201417,0.1345359,0.21056218,0.22569242,0.3080619,0,1.8749583926063917,0.9111830347776416,0.8192091,0.8841206,0.9342769,1.0009001,0.22031379759311676,0.13565856,0.18713225,0.23519692,0.3170667,3216,200
0.808354377746582,0.808354377746582,0.700337,0.78748286,0.84056556,0.9049046,0.20958398468792439,0.12862213,0.1830636,0.23622255,0.29233816,0,1.7866943439582765,0.841930189728737,0.75252134,0.81691396,0.86793476,0.93307686,0.2012031200528145,0.10769779,0.18635277,0.22203717,0.2921951,4816,300
0.7767981365323068,0.7767981365323067,0.66458607,0.7427246,0.7996489,0.8633317,0.2161261085420847,0.10634413,0.17521265,0.24367215,0.29990023,0,1.7273012966638912,0.7901459491252898,0.6932292,0.758823,0.8140117,0.8920727,0.19845411106944078,0.10133873,0.16810957,0.21430223,0.30774012,6416,400
0.7136961072683333,0.7136961072683334,0.60687995,0.67727876,0.74455464,0.8073861,0.18752443231642246,0.08757075,0.13689134,0.21813627,0.28412822,0,1.6265676230725468,0.7334779620170593,0.63857967,0.70496154,0.76258963,0.8327445,0.18611448369920255,0.09865595,0.1540255,0.21086936,0.2852968,8016,500
0.6609406545758247,0.6609406545758247,0.56840837,0.6343161,0.7034141,0.78045905,0.17951478436589238,0.08489351,0.15682772,0.21395804,0.3064945,0,1.5543538429585317,0.6873440831899638,0.59423906,0.6578965,0.7191013,0.78661245,0.18178761988878242,0.0882868,0.15253906,0.21295756,0.28195414,9616,600
0.6415630206465721,0.6415630206465721,0.53413725,0.60894084,0.64700735,0.742395,0.196534326300025,0.10647981,0.16088049,0.18906799,0.29872778,0,1.4750031436142699,0.6420695698261256,0.55079514,0.6174391,0.67495704,0.7411406,0.17377829074859627,0.08827568,0.14519316,0.20587315,0.271164,11216,700
0.5865365788340569,0.5865365788340569,0.48935348,0.54792464,0.64014375,0.6961382,0.1776804681867361,0.08893086,0.12770087,0.23063442,0.2915095,0,1.410971184895617,0.6104392552375791,0.51536494,0.5811247,0.6343897,0.70728517,0.17733193598687652,0.08461541,0.15006433,0.19690758,0.2744242,12816,800
0.5641874596476555,0.5641874596476555,0.4591158,0.5302779,0.5969872,0.6659929,0.18214482627809042,0.07265926,0.14695223,0.21673352,0.28762573,0,1.3247692316515245,0.5798178791999813,0.4813716,0.542616,0.60234016,0.6786878,0.18053300037980077,0.08072185,0.14543,0.20155054,0.280222,14416,900
